question,type,intent
国航远洋MACD 指标是否出现金叉或死叉？红柱 / 绿柱长度变化趋势如何？,train,Stock Diagnosis
分析一下荣百股份。,train,Stock Diagnosis
请问一下金宏气源,train,Stock Diagnosis
帮我分析一下歌尔股份,train,Stock Diagnosis
思源电气走势,train,Stock Diagnosis
利欧股份,train,Stock Diagnosis
请问一下贝肯能源,train,Stock Diagnosis
容百科技分析支撑点,train,Stock Diagnosis
帮我分析一下美联新材,train,Stock Diagnosis
华能水电怎么样,train,Stock Diagnosis
冰轮环境深度分析走势,train,Stock Diagnosis
冰轮环境和征和工业走势深度分析,train,Stock Diagnosis
久盛电气,train,Stock Diagnosis
云图控股怎么样,train,Stock Diagnosis
迈赫股份,train,Stock Diagnosis
看看凯盛科技,train,Stock Diagnosis
帮我分析下胜宏科技,train,Stock Diagnosis
帮我分析下航天动力,train,Stock Diagnosis
准油股份,train,Stock Diagnosis
潍柴重机是壳资源吗？,train,Stock Diagnosis
帮我看一下先导智能的走势,train,Stock Diagnosis
机器人应用方面有哪些股票,train,Stock Screening
1月7日 沪深主板跌停的的股票,train,Stock Screening
机器人相关的股票有哪些,train,Stock Screening
股票分几种,train,Stock Screening
AI人工智能概念股A股有哪些,train,Stock Screening
选出三年主营业务净利润连续上涨的白马股,train,Stock Screening
沪深主板，脑机接口概念成分股中，超过12个月份低位横盘震盪，最近拐头向上，放量突破压力位的个股,train,Stock Screening
|资金|敢死队增仓前10/多空净流入≥5000万|锁定主力/游资主攻|\n|量价|成交额≥3亿/换手率≥5%|过滤流动性差的弱票|\n|价格|涨幅≥8%（预警）/涨停价（下单）|聚焦涨停前兆|\n|封单|封单≥流通盘1%/主板≥1亿|确保封单强度|\n|风险|非ST/非新股/非一字板|避开规则与流动性风险|\n\u200b,train,Stock Screening
是那2只股票,train,Stock Screening
选出主营业务净利润连续三年上涨的,train,Stock Screening
AI人工智能概念股有哪些,train,Stock Screening
机器人应用龙头股,train,Stock Screening
AI硬件股,train,Stock Screening
主力资金连续流入，股票横盘震荡没有大涨的股票,train,Stock Screening
AI人工智能概念股科创板有哪些,train,Stock Screening
主力资金连续多日留日,train,Stock Screening
选出三个成长指数连续上涨且分红三个季度持续上涨的白马股,train,Stock Screening
昨日跌停的股票？,train,Stock Screening
火箭发射场概念,train,Stock Screening
出现三把锁信号的个股,train,Stock Screening
最近有哪些热门板块？,train,Stock Screening
连续出现三把锁信号的个股,train,Stock Screening
出现黄金坑的个股,train,Stock Screening
火箭发射领域股票,train,Stock Screening
A工+应用端，主板,train,Stock Screening
以上股票下周强势轮动的有哪些,train,Stock Screening
火箭发射有哪些标的,train,Stock Screening
热度值排行前20名主板,train,Stock Screening
具身智能包括哪些股票,train,Stock Screening
出现三把锁和加仓信号的个股,train,Stock Screening
那个股票今日主力资金净流入2.06亿,train,Stock Screening
成交量放大，均线粘合的股票有那些？,train,Stock Screening
帮我选几只三把琐和波段都是开仓的股票,train,Stock Screening
找出涨幅5%以上的股票,train,Stock Screening
华为升腾概念,train,Stock Screening
主力资金净流入2.06亿,train,Stock Screening
卫星互联网+商业航天+算力有什么股票,train,Stock Screening
今天三把锁股票,train,Stock Screening
筛选出今日涨幅3%到5%，20日内有涨停板量比大于1，市值小于200亿，换手率大于5小于10的股票,train,Stock Screening
当前板块资金流入多，和涨幅最小的几个板块，把当中资金流入多和涨幅最小排名靠前的 15 支个股推荐一下,train,Stock Screening
月线下2到3年的股票,train,Stock Screening
日线下跌一到三个月的股票,train,Stock Screening
筛选出今日涨幅3%到5%，20日内有涨停板量比大于1，市值小于200亿，换手率大于5小于10的股票,train,Stock Screening
当前板块资金流入多，和涨幅最小的几个板块,train,Stock Screening
找出5日均线上穿10日、20日均线3天的板块,train,Stock Screening
今天流入3、6亿元的股票,train,Stock Screening
擒龙平台的低位股票,train,Stock Screening
热门低位的股票。,train,Stock Screening
找出5日均线上穿10日、20日均线3天的概念,train,Stock Screening
603893在什么走势,train,Stock Screening
找出5日均线上穿10日、20日均线5天的板块,train,Stock Screening
卫星通讯概念股,train,Stock Screening
找出5日均线上穿10日、20日均线的板块,train,Stock Screening
低位的股票。,train,Stock Screening
七一二趋势,train,Stock Screening
AI存储芯片有哪些股票？,train,Stock Screening
找出5日均线上穿10日均线3天的板块,train,Stock Screening
哪些股票和商业航天的回收相关？,train,Stock Screening
同时包含机器人，l4无人驾驶，aI眼镜的股票,train,Stock Screening
为可控核聚变加央企概念为主管通稳压器堆芯,train,Stock Screening
商业航天叠加可控核聚变,train,Stock Screening
⭕商业航天（300***）\n✔细分概念：商业航天+海上回收项目+深海装备\n看涨逻辑：海上回收基地项目核心系统供应商:负责为火箭海上回收提供智能通讯导航、远程控制等关键技术支持。这个系统被形容为回收任务的"神经中枢"，核心任务是在火箭返回海上平台过程中，确保"看得见、控得准"，实现高精度着陆。\n根据以上信息，搜索相关股票,train,Stock Screening
商业航天龙头股有哪些？,train,Stock Screening
哪些股票和商业航天，海上回收，深海装备相关？,train,Stock Screening
股价相较于低位的商业航天股,train,Stock Screening
5块51的股票市值397亿，今天暗盘流入3、6亿元的股票是哪只,train,Stock Screening
帮我找一下最近几周均线多头向上的000和600开头的股票,train,Stock Screening
造船行业的股票有哪些？,train,Stock Screening
近五日资金持续流入，股价相较于低位的商业航天概念股,train,Stock Screening
华为 商业航天 13.80 市值90亿左右股票,train,Stock Screening
商业航天概念股,train,Stock Screening
造成行业的股票有哪些？,train,Stock Screening
最近周线多头向上的股票有哪些,train,Stock Screening
商业航天概念板块里的龙头股都是什么？从高重要往不重要排序，用表格方式表达现在的价格是多少？,train,Stock Screening
脑机接口里面核心股票有那些,train,Stock Screening
商业航天加核电加固态,train,Stock Screening
培育钻石股票有哪些,train,Stock Screening
首板涨停，集合竟价9：20前出现涨停，9：25成交涨幅高于3%到6%.符合当前的热点主线，非科创板，非创业板，非sT板,train,Stock Screening
华为 商业航天 芯片概念 13.83 左右股票,train,Stock Screening
三倍量,train,Stock Screening
今天热门股,train,Stock Screening
我是问的人工智能和制造的股票,train,Stock Screening
今日A股涨停板股票,train,Stock Screening
可控核聚变核心相关的股票,train,Stock Screening
机器人概念 工业互联网 华为概念 充电桩 6-7元股票,train,Stock Screening
近二天主力大幅资金流入核聚变的股票,train,Stock Screening
机器人概念 工业互联网 华为概念 充电桩,train,Stock Screening
公司参与火箭发射场建设，获得海南发射订单，公司为多型火箭 卫星配套设备级产品，今天主力资金买入超1亿近5天主力资金净买入超4亿，国资控股55%以上，北向资金去年二季度也大幅加仓，这个票是谁呢,train,Stock Screening
今天主力资金流入最多的股票,train,Stock Screening
脑机接口核心股票,train,Stock Screening
A|板块股票,train,Stock Screening
今日A股首板涨停的股票,train,Stock Screening
6900点是哪个指数。,train,Stock Screening
破成本线上涨3%.到4%.左右的股票,train,Stock Screening
今月收盘价为15.77个股,train,Stock Screening
破成本线上涨5%.到6%.左右的股票,train,Stock Screening
我想问一下人工智能加制造的龙头股头股票是哪几支,train,Stock Screening
破成本线上涨1%.到2%.左右的商业航天股票,train,Stock Screening
破成本线上涨2%.到3%.左右的商业航天股票,train,Stock Screening
破成本线上涨7%.到9%.左右的股票,train,Stock Screening
破成本线上涨8%.到9%.左右的股票,train,Stock Screening
破成本线上涨6%.到7%.左右的股票,train,Stock Screening
谁家公司价格在3.58,train,Stock Screening
破成本线上涨0.1%.到2%.左右的股票,train,Stock Screening
破成本线上涨1%.到2%.左右的股票,train,Stock Screening
破成本线上涨4%.到5%.左右的股票,train,Stock Screening
破成本线下跌4%.到5%.左右的股票,train,Stock Screening
今曰收盘价为15.77个股,train,Stock Screening
现在价位在3.31是那家公司,train,Stock Screening
红利股票池,train,Stock Screening
破成本线负4%.到5%.左右的股票,train,Stock Screening
毛利率30-100的股票,train,Stock Screening
核聚变的主要概念股,train,Stock Screening
破成本线上涨150%.到155%.左右的股票,train,Stock Screening
商业航天概念,train,Stock Screening
破成本线上涨100%.到125%.左右的A股票,train,Stock Screening
2026年1月7号和1月8号两天都收光头阳线的票有哪些？,train,Stock Screening
破成本线上涨100%.到125%.左右的A股股票,train,Stock Screening
和而泰涉及商业航天,train,Stock Screening
破增持成本线上涨100%.到125%.左右的A股股票,train,Stock Screening
脑机接口有发展趋势的股票,train,Stock Screening
列出今天收盘价在90-95之间的股票,train,Stock Screening
跨年妖股,train,Stock Screening
增发股票：2026年以后后解禁的是那些股？,train,Stock Screening
底部主力吸筹完开始上涨的股票,train,Stock Screening
今天突破股票,train,Stock Screening
破成本线上涨120%.到130%.左右的股票,train,Stock Screening
AI应用加算力租赁加国产软件的股票,train,Stock Screening
月线主力吸筹完毕开始上涨的股票,train,Stock Screening
破成本线上涨100%.到115%.左右的A股票,train,Stock Screening
破成本线上涨100%.到125%.左右的股票,train,Stock Screening
定向增发股票：2026年内解禁的是那些股？,train,Stock Screening
低于本线下跌50%.到55%.左右的股票,train,Stock Screening
增发股票：2026年2月后解禁的是那些股？,train,Stock Screening
月线主力吹筹完毕开始上涨的股票,train,Stock Screening
机器人，芯片，底空经济，都有那面股票吗,train,Stock Screening
低于本线负50%.到55%.左右的股票,train,Stock Screening
低于本线负10%.到15%.左右的股票,train,Stock Screening
多日小阳的股票,train,Stock Screening
列出收盘价在90-93之间的票,train,Stock Screening
"ETF,T+0，日振幅〉=1.5%，近20日日均成交额大于5000万，溢价率小于等于0.8%,规模大于5亿，成立1年以上",train,Stock Screening
破成本线上涨30%.到50%.左右的股票,train,Stock Screening
低于成本线负10%.到15%.左右的股票,train,Stock Screening
月线主力正在吸筹的股票,train,Stock Screening
破成本线上涨50%.到55%.左右的股票,train,Stock Screening
Al眼镜有关的股票,train,Stock Screening
破成本线上涨90%.到95%.左右的股票,train,Stock Screening
破成本线上涨125%.到130%.左右的股票,train,Stock Screening
破成本线上涨50%.到60%.左右的股票,train,Stock Screening
选出最优质股票连续增长的股票,train,Stock Screening
2026年1月6日5日均线上穿10日均线的股票,train,Stock Screening
定向增发破成本线上涨20个点左右的股票,train,Stock Screening
破成本线上涨200%.到210%.左右的股票,train,Stock Screening
10日内5日均线上穿10日均线的股票,train,Stock Screening
定向成本线上涨40个点左右的股票,train,Stock Screening
股价低于40元，业绩好，横盘震荡时间长，机构频繁调研，获买入评级的科技股,train,Stock Screening
破成本线上涨20%.到25%.左右的股票,train,Stock Screening
商业航天+卫星导航+并购概念的上市公司股票。,train,Stock Screening
人脑工程加商业航天的股票,train,Stock Screening
破成本线上涨20%.左右的股票,train,Stock Screening
可控核聚变概念股+QFIF,train,Stock Screening
一月8日多空资金流入33亿左右的个股,train,Stock Screening
定向增发破成本线上涨40个点左右的股票,train,Stock Screening
选两支低价能翻翻的股票,train,Stock Screening
破成本线上涨150%.到155%.左右的股票,train,Stock Screening
破成本线上涨100%.到125%.左右的股票,train,Stock Screening
请问一下？二月份以前有哪些定向增发的股票要到期。,train,Stock Screening
定向破发成本线上涨40个点左右的股票,train,Stock Screening
六个月来哪些定向增发的股票。你长的幅度不大。,train,Stock Screening
多头排列的股票,train,Stock Screening
海上回收火箭的上市股票名字,train,Stock Screening
三个月累哪些定向增发的股票要解禁。,train,Stock Screening
明天大股东减持的股票,train,Stock Screening
AI设备检测的股票,train,Stock Screening
昨天5日均线上穿10日均线的股票,train,Stock Screening
定向增发破成本线20个点左右的股票,train,Stock Screening
今日5日均线上穿10日均线的股票,train,Stock Screening
今日尾盘出现三把锁的股票,train,Stock Screening
一月8日主力资金流入33亿左右的个股,train,Stock Screening
通过股权监控，想要了解定增股票近期要解禁的上市企业,train,Stock Screening
A股，二至三天涨停的股票有那些,train,Stock Screening
今日尾盘出现红十字的股票,train,Stock Screening
可控核聚变龙头股,train,Stock Screening
2至天3涨停的股票,train,Stock Screening
具有航天军工太阳能电池板的股票。,train,Stock Screening
最近10天机杓调研的热门股有哪些,train,Stock Screening
定向增发成本线附近的商业航天股票。,train,Stock Screening
2026年2月30日前，上市企业定增股票需解禁的企业有那些,train,Stock Screening
2026年2月28日前，定增股票解禁上市企业,train,Stock Screening
做航天军工的股票,train,Stock Screening
2025年5-6月份增发的股票,train,Stock Screening
2025年5-6月份定向增发的股票有哪些,train,Stock Screening
你好，给我找一下，还有一个月就定向增发到期的锁定到期的六个月的,train,Stock Screening
这几支票的那个一家绿能不能给我龟龟做个表？,train,Stock Screening
就是刚才你提供的，就是还有一个月以内到期的那十一只票,train,Stock Screening
突破平台的首板涨停,train,Stock Screening
做航天军工和计算机的股票,train,Stock Screening
定向增发成本线附近的股票,train,Stock Screening
近10日有涨停；近9日处于调整的股票,train,Stock Screening
航天军工及新材料，计算机，股票,train,Stock Screening
做商业应航天和军工的股票,train,Stock Screening
凯美特气明天应该怎么操作,train,Prediction
帮我分折一下航天智装明天走,train,Prediction
帮我分析一下多氟多未来走势,train,Prediction
分析明天走势,train,Prediction
帮我分析一下城建发展明天走势,train,Prediction
创新医疗后期走势,train,Prediction
分析一下城建股份明天走势,train,Prediction
三花智控后市怎样,train,Prediction
看看后期怎么走下去，,train,Prediction
模塑科技后期走势,train,Prediction
蓝色光标后市走势如何,train,Prediction
白酒板块未来怎么看？,train,Prediction
白酒板块未来怎么看？,train,Prediction
中航机载后期走势,train,Prediction
华兰股份未来发展,train,Prediction
帮分析一下和胜股份接下来一个月的走势,train,Prediction
哎 同学 我在问你 我明天该怎么操作,train,Prediction
华兰疫苗未来发展,train,Prediction
帮分析一下中航重机接下来的走势,train,Prediction
三花智控后市怎样,train,Prediction
帮分析一下中航重机接下来一个月的走势,train,Prediction
国风新材后续走势如何,train,Prediction
白酒板块未来怎么看？,train,Prediction
华能水电未来走势情况分析,train,Prediction
帮我分析下601020后续的走势,train,Prediction
华电国际未来走势情况分析,train,Prediction
白酒板块未来怎么看？,train,Prediction
雷科防务明天还会大涨吗？,train,Prediction
航天发展明天会大涨吗？,train,Prediction
沃尔核材发展前景和趋势怎么样,train,Prediction
明天行情估计怎么走,train,Prediction
沪光股份未来走势情况分析,train,Prediction
海格通信明天还会大涨吗？,train,Prediction
春晖智控明天分析,train,Prediction
国风新材后续走势如何,train,Prediction
宁德时代未来走势情况,train,Prediction
华人健康后市走向如何？,train,Prediction
预测三川智慧的后期走势,train,Prediction
。嗯看看金立永磁的后期走势。,train,Prediction
工业富联近期会上涨吗,train,Prediction
宁德时代未来走势情况,train,Prediction
看看金力永磁的和三川智慧的后期走势,train,Prediction
看一下仙岛智能。未来,train,Prediction
000922佳电股份未来走势如何？,train,Prediction
宁德时代未来走势情况,train,Prediction
明天开盘会有多大的涨幅,train,Prediction
航天电子明天能买吗,train,Prediction
商业航天板块的股票后面走势如何？,train,Prediction
帮我分析一下广西广电后面的走势,train,Prediction
中京电子明天的走势,train,Prediction
分析下中国动力明日走势,train,Prediction
时空科技明天继续可以吃肉吗,train,Prediction
请分析中国船舶后期走势,train,Prediction
分析下三变科技明日走势,train,Prediction
长青科技明天能加仓吗,train,Prediction
雷科防务后势如何？,train,Prediction
赛腾股份明天的走势,train,Prediction
宁德时代未来走势情况,train,Prediction
帮我分析一下蓝思科技未来走势,train,Prediction
分析下世运电路明日走势,train,Prediction
请问三六零近期能走强吗,train,Prediction
分析下明日中国西电走势,train,Prediction
白酒板块未来怎么看？,train,Prediction
时空科技明天继续可以吃肉吗,train,Prediction
明天市场主线哪个,train,Prediction
景旺电子未来走势,train,Prediction
银邦股份资金动向，明天走向,train,Prediction
四维图新明天会怎么走,train,Prediction
宁德时代未来走势情况,train,Prediction
陕西黑猫未来走势,train,Prediction
三花智控后市怎样,train,Prediction
明阳电路未来走势,train,Prediction
格林美昨天大涨今日大跌，明天会怎么走呢？继续持有还是抛售,train,Prediction
今日收盘价37.75，请分析605088股票后续6交易日走势及可能最高最低价位,train,Prediction
301012后面走势,train,Prediction
白酒板块未来怎么看？,train,Prediction
宁德时代未来走势情况,train,Prediction
后期走势如何？,train,Prediction
华菱线缆后期走势如何？,train,Prediction
300447明天走势,train,Prediction
中信重工未来走势,train,Prediction
预测一下，明天万向钱潮走势,train,Prediction
航天发展，明天会怎么走？,train,Prediction
中心中工未来,train,Prediction
分析一下航天电子下一步走势,train,Prediction
宁德时代未来走势情况,train,Prediction
三博脑科未来几天的走势,train,Prediction
冰轮环境未来走向,train,Prediction
宁德时代未来走势情况,train,Prediction
002298未来怎么样,train,Prediction
白酒板块未来怎么看？,train,Prediction
300004未来怎么样,train,Prediction
中国西电明天可以加仓吗,train,Prediction
帮我看看中超控股明天可以去吗,train,Prediction
利欧股份预测明天走势,train,Prediction
盛洋科技后续走势如何,train,Prediction
顺钠股份还会,train,Prediction
603809。这个股明天长势如何？,train,Prediction
润丰股份未来走势,train,Prediction
分析股票000905明天出小绿锁的可能大不大,train,Prediction
阳普股份前景如何,train,Prediction
蓝色光标后市走势如何,train,Prediction
蓝色光标后市走势如何,train,Prediction
推演一下下周航天发展中国卫星中国卫通航天电子四只个股走势,train,Prediction
广东宏大未来走弩,train,Prediction
华旺科技明天怎样,train,Prediction
浙江世宝明天会不会涨停,train,Prediction
荣科科技明天会怎样,train,Prediction
000833这只股票以后的走势,train,Prediction
大位科技明天是否关注,train,Prediction
盈新发展前景,train,Prediction
华润并购整合,train,news
那家上市公司直接控股中国电子信息集团,train,news
谁控股中国电子信息,train,news
上海微电子借壳哪间公司上市？,train,news
贝隆精密解禁时间,train,news
沪光股份定向增发公告,train,news
沪光股份定向增发公告,train,news
帮我搜索20261.8号与商业航天相关的研报,train,news
沪光股份定增公告,train,news
有利消息,train,news
沪光股份定增,train,news
中国船舶的定增时间是多少。,train,news
安泰科技最近10天有多少家机构调研，并有买入或增持,train,news
中行重机的发行定增时间是多少。,train,news
泰和新材增发是什么时间？,train,news
中国船舶完成定增的时间是哪天,train,news
瑞士银行持股,train,news
瑞士银行a股持仓,train,news
航天发展是否会触发监管异动？,train,news
今天大股东减持了吗,train,news
12月18日火山引擎原动力大会对那些个股利好,train,news
润达医疗股东股份被冻结,train,news
航天发展什么时候重组的,train,news
威帝股份有限什么时候重组,train,news
荣科股份重组,train,news
今天大盘为什么涨,train,news
特朗普对中国的关税加到多少了？,train,news
近期有没有影响市场情绪的重大事件新闻，如地缘政治冲突、突发公共事件等？证券市场对此的反应程度怎样？,train,news
苹果股价四连跌，微软重回市值第一宝座，如何影响科技板块，追问“对投资者有什么启示”,train,news
特朗普将对汽车制造商豁免部分美国关税，对相关行业有何影响？追问“豁免关税后，汽车制造商的盈利能力会如何变化？,train,news
美国六大汽车行业组织为何联名反对加征汽车零部件关税？追问“这对中美贸易关系有何影响？,train,news
我国人工智能专利全球占比达60%，主要涉及哪些核心技术领域？追问“该数据对科技强国建设有何意义？,train,news
券商回购增持计划的设计体现哪些维稳新思路？追问“溢价回购是否可能引发市场对券商资本充足率的担忧？,train,news
智能投顾如何平衡AI推荐与适当性管理？是否应强制要求AI投顾保留人工复核环节作为风控底线？,train,news
美联储降息对A股市场的影响，追问“降息后，A股市场的主力资金流向如何？,train,news
899050市场股票最近有什么新闻,train,news
001296最近有什么重大新闻,train,news
107999最近新闻,train,news
近期医药行业有没有关于新药研发的重大新闻？这些新药针对的疾病领域和市场前景如何？,train,news
688536、301027所属市场最近各有什么新闻,train,news
指南针计划拓展港股/美股业务‌，现有金融信息服务用户中符合50万以上资产门槛的高净值客户占比多少？跨市场业务的技术准备与合规成本是否可控？,train,news
房地产行业板块最新研报,train,news
特朗普对等关税事件造成全球股市回落，4 月7 日沪深300 指数和恒生指数分别下跌7.05%/13.22%，为应对外部事件冲击，4 月8 日我国央行和中央汇金公司等多方积极表态：,train,news
指南针3月12号的研报讲了什么内容,train,news
指南针最近有什么研报,train,news
有哪些新闻需要重点关注,train,news
近期有哪些股市政策调整需要关注,train,news
有哪些新兴技术或产业趋势正在股市中引发广泛关注和讨论？,train,news
近期股市中有哪些重大事件或消息引起了市场的广泛讨论？,train,news
今天股市中有哪些需要关注的新闻,train,news
最近有哪些政策大家特别关注,train,news
我想了解一下最近股市的新闻情况,train,news
最近股市有哪些受关注的政策发布或变动？,train,news
目前市场的热点是什么？,train,news
5月份哪个新闻比较受关注,train,news
现在热门新闻是什么,train,news
今天的热点题材是什么？,train,news
最近热门消息,train,news
现在的热点新闻是,train,news
在今天的热门新闻下，会带来什么利好？,train,news
今天A股有什么热点新闻,train,news
近期资本市场资金流向反映出哪些热点话题？,train,news
2025年二季度股市热点话题有哪些新变化？,train,news
当前股市分析中哪些话题的热度最高？,train,news
现阶段股市中有哪些值得跟踪的话题？,train,news
投资者近期应留意股市中的哪些趋势或话题？,train,news
当前资本市场中哪些话题最受关注？,train,news
目前股市讨论的焦点集中在哪些话题？,train,news
近期股市中有哪些热点话题值得投资者重点关注,train,news
当前市场哪些话题关注度比较高,train,news
最近市场的聚焦点在哪些方面,train,news
最近哪些话题大家讨论的比较多,train,news
除机器人浪潮外，还有哪些热门话题？,train,news
当前股市话题中，有哪些话题值得关注,train,news
请问当前股市有哪些热门话题或投资热点？,train,news
美国对药品征收关税将如何影响相关行业股价？对A股医药板块的影响？,train,news
近一个月内，国内外有哪些重大宏观经济数据发布？这些数据对证券市场有何影响？,train,news
最近有没有关于主要经济体货币政策调整的新闻？具体调整内容和市场预期如何？,train,news
半导体行业最近有哪些重大政策出台？对行业内上市公司的影响分别是什么？,train,news
新能源行业内近期有没有发生重大并购重组事件？涉及的公司在证券市场的走势怎样？,train,news
国泰海通合并负商誉操作对行业整合的示范效应？,train,news
美国加税对半导体板块有什么影响,train,news
最近有没有关于教育领域的重大改革新闻？如教育政策调整、教育资源分配等方面的内容，对教育行业和学生家长有何影响？,train,news
加密货币市场近期是否出现了重大的政策调整或市场事件？对加密货币行业的发展有何影响？,train,news
最近有没有关于硕贝德的重大新闻？对该公司股价和市场情绪产生了怎样的影响？,train,news
全球主要股票市场最近有没有出现异常波动？引发波动的主要原因是什么？,train,news
半导体行业近期是否面临新的供应链问题？相关企业采取了哪些应对措施？,train,news
新能源汽车行业最近有没有出现重大的技术突破或创新？相关企业的发展战略是否因此受到影响？,train,news
国内最近是否出台了重大的经济刺激政策？具体内容和对国内及全球经济可能产生的影响有哪些？,train,news
最近有没有关于国际油价大幅波动的新闻？背后的原因是什么，对能源相关产业和全球经济有何连锁反应？,train,news
近期全球主要经济体的通货膨胀率有哪些新变化？对国际贸易和投资产生了怎样的影响？,train,news
我是一名短线投资者，需要了解‘半导体行业突发政策变动’的新闻,train,news
美光科技断供事件对半导体行业有何影响？,train,news
算力租赁板块近期有无重大利好事件？,train,news
作为新能源车投资者，需了解‘固态电池技术突破’资讯,train,news
‘全球人工智能立法动态’的新闻简报,train,news
美联储降息对A股市场的影响,train,news
特斯拉上海超级工厂扩建事件,train,news
欧盟碳关税实施后，对比钢铁/水泥/电解铝出口企业碳足迹核查达标率与欧洲客户订单变化量‌,train,news
中东主权基金Q2增持中国资产的行业分布与2020年有何差异？,train,news
低空经济产业政策发布后，通用航空企业的股价走势如何？,train,news
日本央行结束负利率政策后，日元套利交易平仓对A股哪些行业冲击最大？,train,news
上海智算云产业2000亿元发展规划中，哪些本地国资背景IDC企业可能获得政府专项补贴？,train,news
结合2024年财报数据，对比分析光伏产业链中硅料、组件、逆变器三个细分领域的毛利率变化趋势及影响因素,train,news
近期全球主要经济体的通货膨胀率有哪些新变化？,train,news
罗列一下近期你觉得重要的新闻,train,news
财联社3月20日电，英国央行称...,train,news
中国证券网最新发布的新闻,train,news
南方精工最新新闻,train,news
人工智能行业最新有什么新闻,train,news
提问宁德时代是否针对行业内的重大政策变化或市场动态发布过相关公告？公告中对自身业务的影响分析是怎样的？,train,news
提问东方电气公司最近一次的融资公告的具体内容是什么？融资规模、发行价格、期限等关键信息分别是多少？,train,news
房地产行业板块最新研报,train,news
提问东方电气公司有没有股权变动的公告？相关股东及变动数量、比例分别是多少？,train,news
提问京东方上一年度的正式业绩报告与之前的业绩预告相比，实际数据偏差情况如何？,train,news
过去五年指南针公司是否有过重大的战略调整或业务转型？具体情况是怎样的？,train,news
公司自成立以来经历了哪些重要的发展阶段和重大事件？对公司发展产生了怎样的影响？,train,news
宁德时代公司是否参与行业标准的制定或行业重要活动？如有，相关的公告内容和意义是什么？,train,news
002691前一交易日的封单比,train,Indicator Query
11月12日九牧王热度值,train,Indicator Query
12月11日百大集团热度值,train,Indicator Query
三花智控 今日资金净流入多少,train,Indicator Query
拓维信息隔夜挂单量,train,Indicator Query
红相股份主营产品,train,Indicator Query
ZA026432是哪位私募的席。,train,Indicator Query
五洲新春，增发股权，价格是多少？,train,Indicator Query
汽车零部件今日流入资金,train,Indicator Query
潍柴动力毛利润净利润占比,train,Indicator Query
xyzc压力位,train,Indicator Query
三花智控的机构持股占比是多少？,train,Indicator Query
华友钴业的机构持股占比,train,Indicator Query
华建新材12月29至今高管增持,train,Indicator Query
利君股份主力成本多少,train,Indicator Query
其海外业务占比,train,Indicator Query
中航光电12月15日以来杠杆资金流入如何,train,Indicator Query
利欧股份主力资金控盘比例,train,Indicator Query
开开实业属什么板块？,train,Indicator Query
600120是什么行业的股票？,train,Indicator Query
中国船舶的定增时间是多少。,train,Indicator Query
中行重机的发行定增时间是多少。,train,Indicator Query
雅化集团主要业务是什么,train,Indicator Query
华建集团的筹码集中度达到多少,train,Indicator Query
002691前一交易日的封单比,train,Indicator Query
002691昨日的封单比,train,Indicator Query
11月12日九牧王热度值,train,Indicator Query
12月11日百大集团热度值,train,Indicator Query
330327今日资金情况,train,Indicator Query
中天科技里面的股东张跃军这几天的资金进出情况,train,Indicator Query
三花智控 今日资金净流入多少,train,Indicator Query
三花智控今日资金流入,train,Indicator Query
雷科防务最高点是,train,Indicator Query
通润装备近3天资金流入情况,train,Indicator Query
华友钴业多空资金净流入有多少,train,Indicator Query
工商银行资金流入情况,train,Indicator Query
拓维信息隔夜挂单量,train,Indicator Query
红相股份主营产品,train,Indicator Query
五洲新春，增发股权，价格是多少？,train,Indicator Query
汽车零部件今日流入资金,train,Indicator Query
潍柴动力毛利润净利润占比,train,Indicator Query
xyzc压力位,train,Indicator Query
三花智控的机构持股占比是多少？,train,Indicator Query
华友钴业的机构持股占比,train,Indicator Query
华建新材12月29至今高管增持,train,Indicator Query
利君股份主力成本多少,train,Indicator Query
北交所股票代码,train,Indicator Query
荣耀股东,train,Indicator Query
中航光电12月15日以来杠杆资金流入如何,train,Indicator Query
利欧股份主力资金控盘比例,train,Indicator Query
苏试试验属于哪个板块,train,Indicator Query
开开实业什么板块,train,Indicator Query
600120是什么行业的股票？,train,Indicator Query
航天电子属于商业航天板块吗？,train,Indicator Query
中国船舶的定增时间是多少。,train,Indicator Query
中行重机的发行定增时间是多少。,train,Indicator Query
仲基的腾发时间是多少。,train,Indicator Query
指南针成交量,train,Indicator Query
深高速的定向增发股东表,train,Indicator Query
海得控制属什么板块,train,Indicator Query
涂鸦智能的股票代码是多少,train,Indicator Query
岩山科技属于哪个板块,train,Indicator Query
605298压力位,train,Indicator Query
300285支撑位多少,train,Indicator Query
通动力压力位在哪？,train,Indicator Query
指南针增长点,train,Indicator Query
美团汇率变动对现金及现金等价物的影响,train,Indicator Query
中国平安公允价值变动损失,train,Indicator Query
中国石化小时决策,train,Indicator Query
招商银行K线形态-上升通道,train,Indicator Query
长江电力非流动资产合计,train,Indicator Query
美团RSI6下穿20,train,Indicator Query
恒瑞医药资产减值准备,train,Indicator Query
隆基绿能强势轮动_60,train,Indicator Query
海康威视少数股东损益,train,Indicator Query
工商银行杠杆资金,train,Indicator Query
中国平安MA均线-金叉,train,Indicator Query
中国中免涨速,train,Indicator Query
京东处置子公司及其他营业单位收到的现金净额,train,Indicator Query
宁德时代接待机构数,train,Indicator Query
兴业银行最新配股情况证监会核准公告日,train,Indicator Query
海康威视资产总计,train,Indicator Query
五粮液多空增减仓,train,Indicator Query
